feed_id,player_id,first_name,last_name,team_abbrev,pos_1,pos_2,round,projected_points,points,avg,avg3,avg5,price,user_team_id,team,coach,picked,type,position
1009313,587,Will,Martyn,RIC,MID,NA,7,NA,NA,0,0,0,161100,NA,NA,NA,NA,NA,NA
1002403,589,Ben,Miller,RIC,DEF,NA,7,NA,NA,49.3333,49.3333,49.3333,184800,NA,NA,NA,NA,NA,NA
1017078,559,Josh,Sinn,PTA,DEF,MID,7,NA,NA,24,24,24,157800,NA,NA,NA,NA,NA,NA
298312,776,Patrick,McCartin,SYD,DEF,FWD,7,NA,NA,63,55.6667,61.6,268700,NA,NA,NA,NA,NA,NA
1009241,107,Brodie,Kemp,CAR,DEF,NA,7,NA,NA,0,0,0,156800,NA,NA,NA,NA,NA,NA
1017088,192,Ben,Hobbs,ESS,FWD,MID,7,NA,13,37.3333,37.3333,37.3333,163600,NA,NA,NA,NA,NA,NA
1017057,739,Campbell,Chesser,WCE,DEF,MID,7,NA,NA,0,0,0,148800,NA,NA,NA,NA,NA,NA
1011771,505,Flynn,Perez,NTH,DEF,MID,7,NA,39,41,44,41,181100,NA,NA,NA,NA,NA,NA
1008691,351,Leek,Aleer,GWS,DEF,NA,7,NA,NA,0,0,0,144300,NA,NA,NA,NA,NA,NA
1008510,101,Corey,Durdin,CAR,FWD,NA,7,NA,57,47.3333,38.6667,42.6,203800,NA,NA,NA,NA,NA,NA
1012830,401,Connor,Downie,HAW,MID,NA,7,NA,NA,0,0,0,143700,NA,NA,NA,NA,NA,NA
1009421,416,Finn,Maginness,HAW,MID,FWD,7,NA,26,40.8333,38.3333,36.4,179000,NA,NA,NA,NA,NA,NA
1017067,87,Darcy,Wilmot,BRL,DEF,NA,7,NA,NA,0,0,0,139800,NA,NA,NA,NA,NA,NA
1017086,570,Tom,Brown,RIC,DEF,NA,7,NA,NA,0,0,0,135300,NA,NA,NA,NA,NA,NA
1020339,685,Angus,Sheldrick,SYD,MID,NA,7,NA,NA,43,43,43,130800,NA,NA,NA,NA,NA,NA
1005986,299,Malcolm,Rosas,GCS,FWD,NA,7,NA,48,65,65,65,183900,NA,NA,NA,NA,NA,NA
1011992,695,Louis,Butler,WBD,MID,NA,7,NA,NA,43,43,43,130600,NA,NA,NA,NA,NA,NA
1005992,285,Joel,Jeffrey,GCS,FWD,NA,7,NA,NA,0,0,0,127400,NA,NA,NA,NA,NA,NA
998782,712,Buku,Khamis,WBD,DEF,NA,7,NA,NA,0,0,0,127400,NA,NA,NA,NA,NA,NA
1017720,476,Jacob,van Rooyen,MEL,DEF,FWD,7,NA,NA,0,0,0,126300,NA,NA,NA,NA,NA,NA
1009029,2,James,Borlase,ADE,DEF,NA,7,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
