id,feed_id,player_name,last_name,team,pos,avg,avg3,avg5,Median,user_team_id,user,Bye,,user_team_id,,,team,
386,280109,C.Ward,Ward,GWS,MID,70.6,84,79.75,75,,,12,,,,,,
379,998205,H.Perryman,Perryman,GWS,DEF,75.875,76.3333,79.4,75,,,12,,,,,,
677,1003203,H.McLean,McLean,SYD,RUC/FWD,70,83,81.4,75,,,12,,,,,,
335,1007102,M.O'Connor,O'Connor,GEE,DEF/MID,63.5,57,54.2,75,,,14,,,,,,
453,291533,T.McDonald,McDonald,MEL,DEF/FWD,74.125,72,75.2,75,,,14,,,,,,
217,1013224,H.Chapman,Chapman,FRE,DEF,66,66,66,75,,,13,,,,,,
265,1013257,S.Clohesy,Clohesy,GCS,DEF/MID,86.6667,71,82.4,75,714,Richo,14,,,,,,
781,998480,L.Sullivan,Sullivan,COL,MID,75,75,75,75,,,15,,,,,,
745,290826,J.Cripps,Cripps,WCE,FWD,74.7778,73.6667,76.6,74.5,,,14,,,,,,
461,1008541,K.Pickett,Pickett,MEL,FWD,68.1429,62.6667,61,74,,,14,,,,,,
468,999391,T.Sparrow,Sparrow,MEL,FWD/MID,72.8889,71.6667,77.6,74,,,14,,,,,,
130,997316,L.Young,Young,CAR,DEF,69.8,55.6667,64.75,74,,,14,,,,,,
705,290085,T.Duryea,Duryea,WBD,DEF,68.1429,50.6667,65.4,74,,,15,,,,,,
556,992330,J.Sweet,Sweet,PTA,RUC,92.6667,92.6667,92.6667,74,715,Melons,13,,,,,,
136,293871,J.Crisp,Crisp,COL,DEF/MID,83.4444,103.667,96.4,73.5,715,Melons,15,,,,,,
463,296359,C.Salem,Salem,MEL,DEF/MID,63.3333,41.3333,57.4,73.5,,,14,,,,,,
311,1017063,T.Conway,Conway,GEE,RUC,73.5,73.5,73.5,73.5,,,14,,,,,,
621,1005988,L.Henry,Henry,STK,MID,60.6667,60.6667,60.6667,73,,,15,,,,,,
488,999827,Z.Fisher,Fisher,NTH,DEF/FWD,78.4444,85,82,73,719,Kappaz,12,,,,,,
665,997100,W.Hayward,Hayward,SYD,FWD,75.3333,102.333,87,73,718,Chief,12,,,,,,
577,990827,J.Graham,Graham,RIC,FWD,62.5,59,62.5,73,,,15,,,,,,
61,291548,R.Lester,Lester,BRL,DEF,71.7778,80.3333,78.6,72.5,,,12,,,,,,
370,1020650,D.Jones,Jones,GWS,FWD,61,61,61,72.5,,,12,,,,,,
354,1023266,F.Callaghan,Callaghan,GWS,MID,78.25,95.3333,85.4,72,,,12,,,,,,
457,296420,A.Neal-Bullen,Neal-Bullen,MEL,FWD,84.4444,84.6667,77.2,72,716,Garter,14,,,,,,
527,991930,D.Byrne-Jones,Byrne-Jones,PTA,FWD,66.6667,63.6667,60.4,72,,,13,,,,,,
18,1013974,M.Keane,Keane,ADE,DEF,75.5,62,66,72,,,15,,,,,,
343,292511,Z.Tuohy,Tuohy,GEE,MID,70,67,69.2,71.5,,,14,,,,,,
735,992351,B.Williams,Williams,WBD,MID,76.8889,82.3333,73.2,71.5,,,15,,,,,,
55,1023708,J.Fletcher,Fletcher,BRL,MID,69,71.3333,76.2,71.5,,,12,,,,,,
128,294685,Z.Williams,Williams,CAR,DEF,67.25,57,68.8,71.5,,,14,,,,,,
403,993794,B.Hardwick,Hardwick,HAW,DEF/FWD,64.5556,83.6667,60.4,71,,,15,,,,,,
534,298111,J.Finlayson,Finlayson,PTA,FWD,70.2,61,70.2,71,,,13,,,,,,
47,1002312,Z.Bailey,Bailey,BRL,MID/FWD,75.2,75.6667,73.75,71,,,12,,,,,,
525,992128,R.Burton,Burton,PTA,DEF,79.75,84,75.4,71,,,13,,,,,,
644,290757,J.Webster,Webster,STK,DEF,72.5,72.5,72.5,71,,,15,,,,,,
734,1006127,R.West,West,WBD,FWD,68.25,68,70.6,71,,,15,,,,,,
268,291753,S.Day,Day,GCS,FWD,71,71,71,71,,,14,,,,,,
671,295342,J.Lloyd,Lloyd,SYD,DEF/MID,84.4444,100,84.2,70.5,714,Richo,12,,,,,,
363,295344,T.Greene,Greene,GWS,FWD,71.5,57.6667,73.2,70,713,Pmac,12,,,,,,
247,992059,S.Switkowski,Switkowski,FRE,FWD,67,68.6667,64,70,,,13,,,,,,
696,1000864,L.Bramble,Bramble,WBD,DEF/MID,70.8889,59,63.4,70,,,15,,,,,,
143,991773,B.Frampton,Frampton,COL,DEF,69.5714,61.6667,64.6,69.5,,,15,,,,,,
213,1020594,J.Amiss,Amiss,FRE,FWD,48.375,33.6667,42,69.5,,,13,,,,,,
3,1009029,J.Borlase,Borlase,ADE,DEF,68,64,68,69.5,,,15,,,,,,
622,1002227,J.Higgins,Higgins,STK,FWD,74.2857,60.6667,68,69,,,15,,,,,,
602,1031829,J.Trezise,Trezise,RIC,DEF,69,69,69,69,,,15,,,,,,
656,291978,H.Cunningham,Cunningham,SYD,DEF,58.875,68.3333,60,68.5,,,12,,,,,,
714,281078,L.Jones,Jones,WBD,DEF,73.1111,82.6667,83.8,68.5,,,15,,,,,,
243,1009380,J.Sharp,Sharp,FRE,MID,74.7778,74,68.6,68.5,,,13,,,,,,
36,291748,B.Smith,Smith,ADE,DEF,65,41.6667,61.2,68,,,15,,,,,,
681,996765,T.Papley,Papley,SYD,FWD,75,57,53.8,68,714,Richo,12,,,,,,
26,1021031,L.Nankervis,Nankervis,ADE,DEF/MID,61.8333,56.3333,60.6,68,,,15,,,,,,
396,1005144,M.D'Ambrosio,D'Ambrosio,HAW,DEF/MID,73.75,52,62.6,68,,,15,,,,,,
593,1011985,H.Ralphsmith,Ralphsmith,RIC,DEF,61.75,67.3333,61.75,68,,,15,,,,,,
319,290550,C.Guthrie,Guthrie,GEE,MID,72.3333,72.3333,72.3333,67.5,717,Lester,14,,,,,,
