"season","round","fixture","user_team_id","team","coach","team_score","opponent_team_id","opponent_team","opponent_coach","opponent_score","differential","win","draw","loss","position","points","wins","draws","losses","points_for","points_against","pcnt","sim_pos","sim_finals","sim_gfinal","sim_champ","sim_spoon"
2016,11,4,,"Steele Rebuilding","Lester",1693,,"We're Not Gwilty","James",1421,272,1,0,0,4,24,6,0,5,17860,17865,99.97,4.01,0.60443,0.29324,0.14288,0.03556
2016,11,1,,"Bontback Mountain","Anthony",1874,,"Brave Hartung","Luke",1581,293,1,0,0,5,20,5,0,6,17944,18160,98.81,4.92,0.40219,0.2043,0.10429,0.08055
2016,11,1,,"Brave Hartung","Luke",1581,,"Bontback Mountain","Anthony",1874,-293,0,0,1,6,20,5,0,6,17824,18060,98.69,5,0.38736,0.19052,0.09458,0.09091
2016,11,4,,"We're Not Gwilty","James",1421,,"Steele Rebuilding","Lester",1693,-272,0,0,1,7,16,4,0,7,17655,17891,98.68,6.01,0.19301,0.09472,0.0475,0.20775
2016,11,2,,"Cotch Me If Ya Can","Jordan",1512,,"Game of Jones","Mark",1761,-249,0,0,1,8,12,3,0,8,16887,18277,92.39,7.11,0.05392,0.02371,0.01039,0.54607
2016,12,4,,"Gawn Girl","Simon",1658,,"We're Not Gwilty","James",1497,161,1,0,0,1,36,9,0,3,19578,18928,103.43,1.88,0.95068,0.46049,0.21502,0.00041
2016,12,3,,"Game of Jones","Mark",1539,,"Such is Fyfe","Paul",1672,-133,0,0,1,2,28,7,0,5,19965,18950,105.36,3.31,0.75196,0.40397,0.21611,0.00608
2016,12,3,,"Such is Fyfe","Paul",1672,,"Game of Jones","Mark",1539,133,1,0,0,3,28,7,0,5,19630,19051,103.04,3.51,0.71435,0.3541,0.17879,0.00868
2016,12,1,,"Steele Rebuilding","Lester",1607,,"Bontback Mountain","Anthony",1510,97,1,0,0,4,28,7,0,5,19467,19375,100.47,3.59,0.69812,0.33586,0.16275,0.01115
2016,12,2,,"Brave Hartung","Luke",1835,,"Cotch Me If Ya Can","Jordan",1482,353,1,0,0,5,24,6,0,6,19659,19542,100.6,4.41,0.49956,0.25527,0.13117,0.02678
2016,12,1,,"Bontback Mountain","Anthony",1510,,"Steele Rebuilding","Lester",1607,-97,0,0,1,6,20,5,0,7,19454,19767,98.42,5.46,0.26248,0.1317,0.0674,0.09075
2016,12,4,,"We're Not Gwilty","James",1497,,"Gawn Girl","Simon",1658,-161,0,0,1,7,16,4,0,8,19152,19549,97.97,6.44,0.10354,0.0502,0.02468,0.23285
2016,12,2,,"Cotch Me If Ya Can","Jordan",1482,,"Brave Hartung","Luke",1835,-353,0,0,1,8,12,3,0,9,18369,20112,91.33,7.4,0.01931,0.00841,0.00408,0.6233
2016,13,1,,"Gawn Girl","Simon",1213,,"Bontback Mountain","Anthony",1452,-239,0,0,1,1,36,9,0,4,20791,20380,102.02,2.03,0.92602,0.44193,0.20482,0.00136
2016,13,2,,"Game of Jones","Mark",1423,,"Brave Hartung","Luke",1558,-135,0,0,1,2,28,7,0,6,21388,20508,104.29,3.6,0.68287,0.37071,0.20319,0.01576
2016,13,4,,"Such is Fyfe","Paul",1059,,"We're Not Gwilty","James",1109,-50,0,0,1,3,28,7,0,6,20689,20160,102.62,4.05,0.58425,0.28123,0.136,0.027
2016,13,2,,"Brave Hartung","Luke",1558,,"Game of Jones","Mark",1423,135,1,0,0,4,28,7,0,6,21217,20965,101.2,3.69,0.66433,0.35051,0.18515,0.01715
2016,13,3,,"Steele Rebuilding","Lester",1254,,"Cotch Me If Ya Can","Jordan",1457,-203,0,0,1,5,28,7,0,6,20721,20832,99.47,4.02,0.59109,0.28666,0.13692,0.02544
2016,13,1,,"Bontback Mountain","Anthony",1452,,"Gawn Girl","Simon",1213,239,1,0,0,6,24,6,0,7,20906,20980,99.65,4.98,0.38349,0.19299,0.09798,0.07371
2016,13,4,,"We're Not Gwilty","James",1109,,"Such is Fyfe","Paul",1059,50,1,0,0,7,20,5,0,8,20261,20608,98.32,6.34,0.13445,0.06141,0.02928,0.24459
2016,13,3,,"Cotch Me If Ya Can","Jordan",1457,,"Steele Rebuilding","Lester",1254,203,1,0,0,8,16,4,0,9,19826,21366,92.79,7.29,0.0335,0.01456,0.00666,0.59499
2016,14,2,,"Gawn Girl","Simon",946,,"Cotch Me If Ya Can","Jordan",1198,-252,0,0,1,1,36,9,0,5,21737,21578,100.74,2.43,0.87562,0.3985,0.17839,0.00314
2016,14,4,,"Such is Fyfe","Paul",1615,,"Brave Hartung","Luke",1591,24,1,0,0,2,32,8,0,6,22304,21751,102.54,3.21,0.75405,0.38185,0.1927,0.01175
2016,14,3,,"Steele Rebuilding","Lester",1244,,"Game of Jones","Mark",1212,32,1,0,0,3,32,8,0,6,21965,22044,99.64,3.42,0.71442,0.3412,0.16075,0.01541
2016,14,3,,"Game of Jones","Mark",1212,,"Steele Rebuilding","Lester",1244,-32,0,0,1,4,28,7,0,7,22600,21752,103.9,4.19,0.55601,0.29813,0.15996,0.0386
2016,14,4,,"Brave Hartung","Luke",1591,,"Such is Fyfe","Paul",1615,-24,0,0,1,5,28,7,0,7,22808,22580,101.01,4.07,0.58281,0.32589,0.18197,0.03611
2016,14,1,,"Bontback Mountain","Anthony",1318,,"We're Not Gwilty","James",1416,-98,0,0,1,6,24,6,0,8,22224,22396,99.23,5.59,0.26078,0.13469,0.07007,0.14379
2016,14,1,,"We're Not Gwilty","James",1416,,"Bontback Mountain","Anthony",1318,98,1,0,0,7,24,6,0,8,21677,21926,98.86,5.93,0.20473,0.09727,0.04639,0.18918
2016,14,2,,"Cotch Me If Ya Can","Jordan",1198,,"Gawn Girl","Simon",946,252,1,0,0,8,20,5,0,9,21024,22312,94.23,7.15,0.05158,0.02247,0.00977,0.56202
2016,15,2,,"Gawn Girl","Simon",1368,,"Game of Jones","Mark",876,492,1,0,0,1,40,10,0,5,23105,22454,102.9,1.92,0.94593,0.43714,0.19987,0.00016
2016,15,3,,"Steele Rebuilding","Lester",1411,,"Brave Hartung","Luke",773,638,1,0,0,2,36,9,0,6,23376,22817,102.45,2.76,0.83928,0.40754,0.19827,0.0023
