feed_id,season,round,pts,median,player_id,first_name,last_name,team_abbrev,pos_1,pos_2,projected_points,points,avg,avg3,avg5,price,user_team_id,team,coach,picked,type,position,na_flg,na_streak,pts_adj,median_adj,median_fnl,n,scr,pos_scr,scr_pos,weight,scr_wgt,rank,x
291327,2022,2,,94,312,Jonathon,Ceglar,GEE,RUC,,,,0,0,0,491700,,,,,,,TRUE,2,74.5,90,90,1,-0.338,-1.128,RUC,0.087,-0.40673000000000004,98,SC RELEVANT
240052,2022,2,,95,243,David,Mundy,FRE,MID,,,,101,101,101,542300,10836,Cumming for the DB,Anthony,FALSE,nonscoring,MID,TRUE,1,75,91,91,1,-0.259,-0.684,MID,0.391,-0.425175,99,SC RELEVANT
297354,2022,2,134,91,523,Karl,Amon,PTA,MID,,,134,113.5,113.5,113.5,508400,11125,No Way Sloane,Simon,TRUE,scoring,MID,FALSE,13,134,91,91,1,-0.259,-0.684,MID,0.391,-0.425175,100,SC RELEVANT
296225,2022,2,117,86.5,763,Willie,Rioli,WCE,FWD,,,117,86.5,86.5,86.5,225300,,,,,,,FALSE,2,117,,86.5,1,-0.614,0.1,FWD,0.261,-0.42764599999999997,101,SC RELEVANT
291748,2022,2,97,88,38,Brodie,Smith,ADE,DEF,,,97,89.5,89.5,89.5,459600,,,,,,,FALSE,3,97,88,88,1,-0.496,-0.456,DEF,0.261,-0.48556,102,SC RELEVANT
998114,2022,2,106,88,430,Jack,Scrimshaw,HAW,DEF,,,106,97,97,97,456100,10836,Cumming for the DB,Anthony,FALSE,nonscoring,DEF,FALSE,7,106,81,88,1,-0.496,-0.456,DEF,0.261,-0.48556,103,SC RELEVANT
1009256,2022,2,123,88,260,Hayden,Young,FRE,DEF,,,123,107.5,107.5,107.5,418400,,,,,,,FALSE,7,123,71,88,1,-0.496,-0.456,DEF,0.261,-0.48556,104,SC RELEVANT
290746,2022,2,109,89,548,Scott,Lycett,PTA,RUC,,,109,91,91,91,512600,10836,Cumming for the DB,Anthony,TRUE,scoring,RUC,FALSE,12,109,89,89,1,-0.417,-1.235,RUC,0.087,-0.488166,105,SC RELEVANT
1009199,2022,2,106,90,262,Noah,Anderson,GCS,MID,,,106,106,106,106,455000,14003,Bring Me To Fyfe,Luke,TRUE,scoring,MID,FALSE,8,106,90,90,1,-0.338,-0.761,MID,0.391,-0.503393,106,SC RELEVANT
280965,2022,2,95,85,175,Steele,Sidebottom,COL,MID,FWD,,95,92,92,92,475400,10882,Take Me To Parish,James,TRUE,scoring,FWD,FALSE,11,95,85,85,1,-0.733,-0.056,FWD,0.261,-0.556303,107,SC RELEVANT
998484,2022,2,91,85,521,Cameron,Zurhaar,NTH,FWD,,,91,64,64,64,348100,,,,,,,FALSE,5,91,85,85,1,-0.733,-0.056,FWD,0.261,-0.556303,108,SC RELEVANT
292511,2022,2,84,87,348,Zach,Tuohy,GEE,DEF,MID,,84,75,75,75,478100,,,,,,,FALSE,2,84,84,87,1,-0.575,-0.555,DEF,0.261,-0.56978,109,SC RELEVANT
1001396,2022,2,127,87,361,Isaac,Cumming,GWS,DEF,,,127,100,100,100,505700,10836,Cumming for the DB,Anthony,TRUE,scoring,DEF,FALSE,13,127,87,87,1,-0.575,-0.555,DEF,0.261,-0.56978,110,SC RELEVANT
