SEASON,ROUND,SC TEAM,PLAYER,TEAM,POS,PROJ,PTS
2018,16,Danger Things,M.Scharenberg,COL,DEF,66,64
2018,16,Danger Things,P.Seedsman,ADE,DEF,87,81
2018,16,Danger Things,G.Hewett,SYD,FWD,60,50
2018,16,Danger Things,C.Sinclair,SYD,RUC,111,122
2018,16,Danger Things,M.Robinson,BRL,FWD,92,47
2018,16,Danger Things,E.Yeo,WCE,DEF,131,142
2018,16,Danger Things,L.Whitfield,GWS,MID,100,113
2018,16,Danger Things,M.de Boer,GWS,FWD,87,100
2018,16,Danger Things,S.Higgins,NTH,MID,118,111
2018,16,Danger Things,J.Steven,STK,MID,83,69
2018,16,Danger Things,D.Zaharakis,ESS,BEN,92,0
2018,16,Danger Things,K.Langford,ESS,BEN,87,74
2018,16,Danger Things,H.Andrews,BRL,BEN,83,0
2018,16,Danger Things,B.Deledio,GWS,BEN,97,0
2018,17,Danger Things,C.Hooker,ESS,FWD,103,84
2018,17,Danger Things,D.Byrne-Jones,PTA,DEF,77,66
2018,17,Danger Things,J.Westhoff,PTA,FWD,105,88
2018,17,Danger Things,P.Dangerfield,GEE,MID,112,158
2018,17,Danger Things,T.Stewart,GEE,DEF,91,66
2018,17,Danger Things,D.Menzel,GEE,FWD,81,27
2018,17,Danger Things,D.Swallow,GCS,MID,90,74
2018,17,Danger Things,J.Caddy,RIC,FWD,70,54
2018,17,Danger Things,S.Grigg,RIC,MID,82,64
2018,17,Danger Things,T.Cotchin,RIC,MID,84,60
2018,17,Danger Things,M.Scharenberg,COL,DEF,65,67
2018,17,Danger Things,P.Seedsman,ADE,DEF,83,61
2018,17,Danger Things,C.Sinclair,SYD,RUC,101,86
2018,17,Danger Things,M.Robinson,BRL,FWD,95,86
2018,17,Danger Things,E.Yeo,WCE,DEF,137,94
2018,17,Danger Things,L.Whitfield,GWS,MID,100,106
2018,17,Danger Things,S.Higgins,NTH,MID,115,109
2018,17,Danger Things,J.Steven,STK,MID,91,136
2018,17,Danger Things,D.Zaharakis,ESS,BEN,92,0
2018,17,Danger Things,H.Andrews,BRL,BEN,83,0
2018,17,Danger Things,B.Deledio,GWS,BEN,97,0
2018,17,Danger Things,M.de Boer,GWS,BEN,87,0
2018,18,Danger Things,D.Zaharakis,ESS,MID,95,106
2018,18,Danger Things,D.Parish,ESS,FWD,80,72
2018,18,Danger Things,J.Westhoff,PTA,FWD,98,82
2018,18,Danger Things,T.Stewart,GEE,DEF,92,103
2018,18,Danger Things,P.Dangerfield,GEE,MID,116,126
2018,18,Danger Things,T.Cotchin,RIC,MID,90,97
2018,18,Danger Things,S.Grigg,RIC,MID,83,85
2018,18,Danger Things,J.Caddy,RIC,FWD,78,79
2018,18,Danger Things,M.Scharenberg,COL,DEF,70,76
2018,18,Danger Things,P.Seedsman,ADE,DEF,83,84
2018,18,Danger Things,C.Sinclair,SYD,RUC,91,68
2018,18,Danger Things,J.Walker,BRL,DEF,104,73
2018,18,Danger Things,M.Robinson,BRL,FWD,67,34
2018,18,Danger Things,E.Yeo,WCE,DEF,133,128
2018,18,Danger Things,L.Whitfield,GWS,MID,98,105
2018,18,Danger Things,B.Deledio,GWS,FWD,92,59
2018,18,Danger Things,S.Higgins,NTH,MID,109,92
2018,18,Danger Things,J.Steven,STK,MID,93,52
2018,18,Danger Things,P.Hanley,GCS,BEN,93,0
2018,18,Danger Things,D.Swallow,GCS,BEN,90,0
2018,18,Danger Things,H.Bennell,FRE,BEN,76,0
2018,18,Danger Things,H.Andrews,BRL,BEN,83,0
2018,19,Danger Things,D.Zaharakis,ESS,MID,91,90
2018,19,Danger Things,D.Parish,ESS,FWD,81,100
2018,19,Danger Things,J.Westhoff,PTA,FWD,94,85
2018,19,Danger Things,T.Stewart,GEE,DEF,79,18
2018,19,Danger Things,P.Dangerfield,GEE,MID,119,117
2018,19,Danger Things,D.Swallow,GCS,MID,76,41
2018,19,Danger Things,T.Cotchin,RIC,MID,87,55
2018,19,Danger Things,J.Caddy,RIC,FWD,76,59
2018,19,Danger Things,M.Scharenberg,COL,DEF,61,50
2018,19,Danger Things,P.Seedsman,ADE,DEF,77,19
2018,19,Danger Things,C.Sinclair,SYD,RUC,93,100
2018,19,Danger Things,H.Andrews,BRL,DEF,75,66
2018,19,Danger Things,M.Robinson,BRL,FWD,66,79
2018,19,Danger Things,E.Yeo,WCE,DEF,137,128
2018,19,Danger Things,L.Whitfield,GWS,MID,100,107
2018,19,Danger Things,B.Deledio,GWS,FWD,101,108
2018,19,Danger Things,S.Higgins,NTH,MID,103,92
2018,19,Danger Things,J.Steven,STK,MID,92,104
2018,19,Danger Things,P.Hanley,GCS,BEN,93,0
2018,19,Danger Things,S.Grigg,RIC,BEN,75,58
2018,19,Danger Things,H.Bennell,FRE,BEN,76,0
2018,19,Danger Things,J.Walker,BRL,BEN,99,78
2018,20,Danger Things,D.Parish,ESS,FWD,83,62
2018,20,Danger Things,D.Zaharakis,ESS,MID,82,54
2018,20,Danger Things,J.Westhoff,PTA,FWD,85,73
2018,20,Danger Things,P.Dangerfield,GEE,MID,122,132
2018,20,Danger Things,P.Hanley,GCS,DEF,80,55
2018,20,Danger Things,T.Cotchin,RIC,MID,85,102
2018,20,Danger Things,S.Grigg,RIC,MID,70,75
2018,20,Danger Things,J.Caddy,RIC,FWD,81,77
2018,20,Danger Things,B.Hardwick,HAW,DEF,69,52
2018,20,Danger Things,C.Sinclair,SYD,RUC,88,69
2018,20,Danger Things,H.Andrews,BRL,DEF,69,61
2018,20,Danger Things,M.Robinson,BRL,FWD,73,120
2018,20,Danger Things,E.Yeo,WCE,DEF,144,125
2018,20,Danger Things,L.Whitfield,GWS,MID,111,141
2018,20,Danger Things,J.Hopper,GWS,MID,90,131
2018,20,Danger Things,A.Kennedy,GWS,DEF,80,134
2018,20,Danger Things,B.Deledio,GWS,FWD,86,33
2018,20,Danger Things,J.Steven,STK,MID,84,61
2018,20,Danger Things,T.Stewart,GEE,BEN,79,0
2018,20,Danger Things,D.Swallow,GCS,BEN,76,0
2018,20,Danger Things,P.Seedsman,ADE,BEN,77,0
2018,20,Danger Things,S.Higgins,NTH,BEN,103,0
2018,21,Danger Things,D.Zaharakis,ESS,MID,70,70
2018,21,Danger Things,D.Parish,ESS,FWD,93,96
2018,21,Danger Things,J.Westhoff,PTA,FWD,83,86
2018,21,Danger Things,T.Stewart,GEE,DEF,71,64
2018,21,Danger Things,P.Dangerfield,GEE,MID,132,160
2018,21,Danger Things,J.Caddy,RIC,FWD,90,116
2018,21,Danger Things,S.Grigg,RIC,MID,71,109
2018,21,Danger Things,T.Cotchin,RIC,MID,75,48
2018,21,Danger Things,B.Hardwick,HAW,DEF,81,99
2018,21,Danger Things,C.Sinclair,SYD,RUC,79,75
2018,21,Danger Things,H.Andrews,BRL,DEF,68,91
2018,21,Danger Things,M.Robinson,BRL,FWD,82,91
2018,21,Danger Things,J.Cripps,WCE,FWD,98,73
2018,21,Danger Things,E.Yeo,WCE,DEF,131,88
2018,21,Danger Things,A.Kennedy,GWS,DEF,88,48
2018,21,Danger Things,L.Whitfield,GWS,MID,115,130
2018,21,Danger Things,S.Higgins,NTH,MID,96,79
2018,21,Danger Things,J.Steven,STK,MID,85,73
2018,21,Danger Things,P.Hanley,GCS,BEN,77,88
2018,21,Danger Things,D.Swallow,GCS,BEN,81,109
2018,21,Danger Things,A.Treloar,COL,BEN,108,0
