"id","feed_id","player_name","first_name","last_name","team","pos","avg","adp"
320,"1004870","Z.Guthrie","Zach","Guthrie","GEE","DEF",74,211.7
212,"295067","J.Aish","James","Aish","FRE","MID",73,212.1
704,"1017126","S.Darcy","Sam","Darcy","WBD","FWD",19,212.6
63,"1014026","K.Lohmann","Kai","Lohmann","BRL","FWD",30,212.7
576,"1017059","J.Gibcus","Josh","Gibcus","RIC","DEF",0,212.8
491,"1023544","B.George","Brayden","George","NTH","FWD",0,212.8
468,"999391","T.Sparrow","Tom","Sparrow","MEL","MID",67,213.7
404,"1023680","H.Hustwaite","Henry","Hustwaite","HAW","MID",66,214
336,"1027877","C.O'Sullivan","Connor","O'Sullivan","GEE","DEF",0,214.1
178,"1015810","S.Durham","Sam","Durham","ESS","MID",65,214.8
527,"991930","D.Byrne-Jones","Darcy","Byrne-Jones","PTA","FWD",70,214.9
135,"998647","M.Cox","Mason","Cox","COL","RUC/FWD",64,215
687,"1020339","A.Sheldrick","Angus","Sheldrick","SYD","MID",60,215
589,"298144","S.Naismith","Sam","Naismith","RIC","RUC",0,215.4
42,"1011981","J.Worrell","Josh","Worrell","ADE","DEF",74,215.9
753,"290801","A.Gaff","Andrew","Gaff","WCE","MID",71,216.7
339,"280317","R.Stanley","Rhys","Stanley","GEE","RUC",71,217.2
290,"1027033","E.Read","Ethan","Read","GCS","RUC",0,217.5
305,"998260","J.Bowes","Jack","Bowes","GEE","DEF",61,217.6
448,"298264","E.Langdon","Ed","Langdon","MEL","MID",72,219.7
308,"1023537","J.Clark","Jhye","Clark","GEE","MID",13,219.9
524,"1013462","J.Burgoyne","Jase","Burgoyne","PTA","DEF",40,220.1
216,"998129","W.Brodie","Will","Brodie","FRE","MID",71,220.7
535,"1010174","M.Georgiades","Mitch","Georgiades","PTA","FWD",59,220.7
217,"1013224","H.Chapman","Heath","Chapman","FRE","DEF",64,220.9
123,"298290","M.Pittonet","Marc","Pittonet","CAR","RUC",70,222.3
400,"1012857","J.Ginnivan","Jack","Ginnivan","HAW","FWD",53,222.4
109,"1009241","B.Kemp","Brodie","Kemp","CAR","DEF",73,222.6
619,"990840","J.Hayes","Jack","Hayes","STK","FWD",51,223.1
40,"1008384","R.Thilthorpe","Riley","Thilthorpe","ADE","FWD",59,223.3
250,"993940","C.Wagner","Corey","Wagner","FRE","DEF",73,223.8
366,"295265","N.Haynes","Nick","Haynes","GWS","DEF",73,224.1
29,"1012218","L.Pedlar","Luke","Pedlar","ADE","FWD",56,224.8
