"coach","wins","draws","losses","total_points","position","simulation"
"Jordan",9,0,12,33427,7,62
"Luke",8,0,13,34685,8,62
"Lester",14,0,7,36462,1,63
"Paul",13,0,8,36455,2,63
"Anthony",13,0,8,35457,3,63
"Mark",11,0,10,35441,4,63
"Luke",11,0,10,35197,5,63
"James",9,0,12,34274,6,63
"Jordan",8,0,13,34065,7,63
"Simon",5,0,16,32916,8,63
"Paul",15,0,6,36375,1,64
"Anthony",11,1,9,35047,2,64
"James",11,0,10,34946,3,64
"Luke",11,0,10,34498,4,64
"Jordan",11,0,10,33769,5,64
"Mark",10,0,11,34914,6,64
"Lester",9,1,11,35227,7,64
"Simon",5,0,16,33634,8,64
"Paul",16,0,5,36503,1,65
"Lester",16,0,5,35947,2,65
"Mark",12,0,9,35739,3,65
"Anthony",12,0,9,35046,4,65
"Luke",11,0,10,35056,5,65
"James",9,0,12,34970,6,65
"Simon",4,0,17,33065,7,65
"Jordan",4,0,17,31937,8,65
"Paul",14,0,7,36586,1,66
"Mark",12,0,9,35434,2,66
"Anthony",12,0,9,35186,3,66
"Lester",11,0,10,35557,4,66
"Luke",10,0,11,34464,5,66
"James",9,0,12,34925,6,66
"Simon",8,0,13,33742,7,66
"Jordan",8,0,13,32828,8,66
"Lester",15,0,6,35946,1,67
"Mark",14,0,7,35734,2,67
"Anthony",14,0,7,34866,3,67
"Paul",12,0,9,36363,4,67
"James",11,0,10,34549,5,67
"Luke",10,0,11,34707,6,67
"Jordan",5,0,16,33068,7,67
"Simon",3,0,18,32195,8,67
"Lester",16,0,5,36989,1,68
"Anthony",12,0,9,35616,2,68
"Paul",11,0,10,36592,3,68
"Mark",11,0,10,35626,4,68
"Jordan",11,0,10,33369,5,68
"James",9,0,12,34574,6,68
"Luke",8,0,13,35022,7,68
"Simon",6,0,15,33797,8,68
"Paul",14,0,7,36723,1,69
"Lester",13,0,8,36175,2,69
"Anthony",11,0,10,36343,3,69
"James",11,0,10,34681,4,69
"Luke",10,0,11,34408,5,69
"Simon",9,0,12,33955,6,69
"Jordan",9,0,12,33401,7,69
"Mark",7,0,14,34830,8,69
"Paul",14,0,7,37325,1,70
"Lester",14,0,7,36102,2,70
"Mark",13,0,8,36003,3,70
"Anthony",13,0,8,35473,4,70
"Luke",8,0,13,34368,5,70
"Simon",8,0,13,33172,6,70
"James",7,0,14,34668,7,70
"Jordan",7,0,14,32976,8,70
"Lester",16,0,5,36156,1,71
"Anthony",13,0,8,35436,2,71
"Paul",12,0,9,36189,3,71
"Mark",12,0,9,35933,4,71
"Luke",10,0,11,35048,5,71
"James",9,0,12,35037,6,71
"Jordan",6,0,15,33418,7,71
"Simon",6,0,15,33216,8,71
"Lester",15,0,6,36577,1,72
"Anthony",15,0,6,35561,2,72
"Paul",12,0,9,36143,3,72
"Mark",11,0,10,34876,4,72
"James",10,0,11,34596,5,72
"Luke",8,0,13,34454,6,72
"Simon",7,0,14,33669,7,72
"Jordan",6,0,15,32840,8,72
"Mark",13,0,8,35803,1,73
"Paul",12,0,9,36928,2,73
"Lester",12,0,9,36611,3,73
"Anthony",12,0,9,35840,4,73
"Luke",11,0,10,35254,5,73
"James",10,0,11,35000,6,73
"Simon",8,0,13,33288,7,73
"Jordan",6,0,15,33521,8,73
"Lester",15,0,6,36573,1,74
"Paul",13,0,8,36446,2,74
"Mark",13,0,8,35588,3,74
"Anthony",12,0,9,34922,4,74
"Jordan",12,0,9,34036,5,74
"James",9,0,12,34830,6,74
"Luke",8,0,13,34798,7,74
"Simon",2,0,19,32621,8,74
"Lester",16,0,5,36460,1,75
"Paul",13,0,8,36578,2,75
"Mark",12,0,9,35403,3,75
"Anthony",11,0,10,35058,4,75
"Luke",11,0,10,35011,5,75
"Jordan",8,0,13,31908,6,75
"James",7,0,14,34651,7,75
"Simon",6,0,15,32997,8,75
"Lester",14,0,7,36185,1,76
"Mark",12,0,9,35532,2,76
"Anthony",12,0,9,35066,3,76
"Luke",12,0,9,34684,4,76
"Paul",11,0,10,35887,5,76
"James",11,0,10,34985,6,76
"Jordan",8,0,13,33125,7,76
"Simon",4,0,17,33232,8,76
"Lester",16,0,5,36651,1,77
"Anthony",14,0,7,35854,2,77
"Paul",12,0,9,35604,3,77
"Luke",11,0,10,34493,4,77
"Mark",10,0,11,35277,5,77
"James",10,0,11,34603,6,77
"Simon",7,0,14,33669,7,77
"Jordan",4,0,17,32635,8,77
"Lester",15,0,6,37345,1,78
"Paul",12,0,9,36761,2,78
"Anthony",12,0,9,35694,3,78
"Luke",11,0,10,34858,4,78
"Mark",10,0,11,34471,5,78
"James",9,0,12,35433,6,78
"Jordan",8,0,13,33960,7,78
"Simon",7,0,14,33431,8,78
"Lester",15,0,6,36727,1,79
"Paul",14,0,7,35723,2,79
"Anthony",11,0,10,35565,3,79
"Jordan",10,0,11,33781,4,79
"Mark",9,0,12,34842,5,79
"James",9,0,12,34697,6,79
"Simon",8,0,13,34691,7,79
"Luke",8,0,13,33605,8,79
"Lester",14,0,7,36510,1,80
"Paul",13,0,8,36831,2,80
"Anthony",13,0,8,35121,3,80
"Luke",12,0,9,35290,4,80
"Mark",10,0,11,35305,5,80
"Jordan",10,0,11,34257,6,80
"James",6,0,15,33803,7,80
"Simon",6,0,15,32940,8,80
"Lester",14,0,7,36618,1,81
"Anthony",14,0,7,35829,2,81
"Paul",13,0,8,36788,3,81
"James",10,0,11,35124,4,81
"Mark",9,0,12,35224,5,81
"Jordan",9,0,12,33531,6,81
"Luke",8,0,13,35052,7,81
"Simon",7,0,14,33667,8,81
"Lester",14,0,7,36664,1,82
"Paul",13,0,8,36910,2,82
"Mark",13,0,8,35012,3,82
"James",12,0,9,35279,4,82
"Anthony",11,0,10,35293,5,82
"Luke",10,0,11,34457,6,82
"Jordan",7,0,14,32665,7,82
"Simon",4,0,17,32026,8,82
"Paul",15,0,6,36696,1,83
"Lester",14,0,7,36499,2,83
"Mark",12,0,9,35408,3,83
"Anthony",12,0,9,34728,4,83
"James",9,0,12,34063,5,83
"Luke",8,0,13,34420,6,83
"Jordan",7,0,14,32833,7,83
"Simon",7,0,14,32671,8,83
"Paul",14,0,7,36516,1,84
"Lester",13,0,8,36292,2,84
"Anthony",12,0,9,35588,3,84
"Mark",12,0,9,35223,4,84
"Luke",11,0,10,34866,5,84
"Simon",9,0,12,34338,6,84
"James",7,0,14,34215,7,84
"Jordan",6,0,15,32384,8,84
"Lester",15,0,6,36625,1,85
"Paul",12,0,9,36630,2,85
"James",12,0,9,35081,3,85
"Luke",12,0,9,34331,4,85
"Mark",11,0,10,35536,5,85
"Anthony",11,0,10,35240,6,85
"Simon",5,1,15,33143,7,85
"Jordan",5,1,15,32711,8,85
"Lester",16,0,5,36148,1,86
"Paul",13,0,8,36670,2,86
"Luke",13,0,8,35288,3,86
"Mark",10,0,11,35950,4,86
"Anthony",9,0,12,35658,5,86
"Jordan",9,0,12,33168,6,86
"James",8,0,13,34586,7,86
"Simon",6,0,15,33162,8,86
"Paul",14,0,7,36239,1,87
"Luke",13,0,8,35528,2,87
"Lester",12,0,9,37154,3,87
"Anthony",12,0,9,34991,4,87
"Mark",11,0,10,35266,5,87
"James",10,0,11,34696,6,87
"Jordan",7,0,14,33214,7,87
"Simon",5,0,16,33913,8,87
"Paul",16,0,5,37748,1,88
"Anthony",15,0,6,36589,2,88
"Lester",12,0,9,36521,3,88
"Mark",12,0,9,35909,4,88
"James",9,0,12,34394,5,88
"Luke",7,0,14,35200,6,88
"Simon",7,0,14,34022,7,88
"Jordan",6,0,15,32129,8,88
"Lester",17,0,4,36699,1,89
"Anthony",12,0,9,35863,2,89
"Paul",11,0,10,36102,3,89
"Mark",10,0,11,35789,4,89
"Luke",10,0,11,34384,5,89
"Jordan",9,0,12,32857,6,89
"James",8,0,13,34906,7,89
"Simon",7,0,14,34306,8,89
"Lester",15,0,6,36422,1,90
"Paul",14,0,7,36875,2,90
"Mark",13,0,8,36255,3,90
"James",11,0,10,34830,4,90
"Anthony",10,0,11,34655,5,90
"Luke",8,0,13,34071,6,90
"Jordan",7,0,14,32779,7,90
"Simon",6,0,15,33241,8,90
"Paul",15,0,6,37197,1,91
"Lester",15,0,6,36153,2,91
"Luke",11,0,10,35160,3,91
"Anthony",11,0,10,34977,4,91
"James",9,0,12,34591,5,91
"Mark",8,0,13,35431,6,91
"Simon",8,0,13,33968,7,91
"Jordan",7,0,14,33518,8,91
"Lester",15,0,6,36912,1,92
"Luke",13,0,8,35731,2,92
"Paul",12,0,9,36141,3,92
"Anthony",12,0,9,35484,4,92
"James",12,0,9,34343,5,92
"Mark",11,0,10,35026,6,92
"Jordan",5,0,16,32726,7,92
"Simon",4,0,17,33046,8,92
"Lester",15,0,6,36871,1,93
"Paul",15,0,6,36286,2,93
"Anthony",12,0,9,35160,3,93
"Luke",10,0,11,35006,4,93
"Jordan",10,0,11,32975,5,93
"Mark",9,0,12,34964,6,93
"James",8,0,13,33894,7,93
"Simon",5,0,16,33032,8,93
"Paul",16,0,5,37136,1,94
"Lester",14,0,7,36903,2,94
