season,round,fixture,matchup,teamID,teamName,coachID,coachName,team_score
2018,5,3,t2,20180354,Ward of the Rings,21562,Richo,1484
2018,5,4,t1,20180350,The Lyons King,45168,Kappaz,1519
2018,5,4,t2,20180352,VlastuinTrnslation,8258,Chief,1846
2018,6,1,t1,20180349,Danger Things,300791,Pmac,1737
2018,6,1,t2,20180353,Vodka Kreuzers,71052,Garter,1428
2018,6,2,t1,20180355,Crippstocurrency,180650,Jmerc,1737
2018,6,2,t2,20180351,Since U Been Gawn,10857,Melons,1514
2018,6,3,t1,20180356,Post MaSloane,86078,Lester,1441
2018,6,3,t2,20180350,The Lyons King,45168,Kappaz,1786
2018,6,4,t1,20180352,VlastuinTrnslation,8258,Chief,1771
2018,6,4,t2,20180354,Ward of the Rings,21562,Richo,1574
2018,7,1,t1,20180349,Danger Things,300791,Pmac,1634
2018,7,1,t2,20180351,Since U Been Gawn,10857,Melons,1780
2018,7,2,t1,20180350,The Lyons King,45168,Kappaz,1740
2018,7,2,t2,20180353,Vodka Kreuzers,71052,Garter,1495
2018,7,3,t1,20180355,Crippstocurrency,180650,Jmerc,1477
2018,7,3,t2,20180352,VlastuinTrnslation,8258,Chief,1727
2018,7,4,t1,20180356,Post MaSloane,86078,Lester,1456
2018,7,4,t2,20180354,Ward of the Rings,21562,Richo,1593
2018,8,1,t1,20180349,Danger Things,300791,Pmac,1709
2018,8,1,t2,20180350,The Lyons King,45168,Kappaz,1753
2018,8,2,t1,20180351,Since U Been Gawn,10857,Melons,1600
2018,8,2,t2,20180352,VlastuinTrnslation,8258,Chief,1795
2018,8,3,t1,20180353,Vodka Kreuzers,71052,Garter,1375
2018,8,3,t2,20180354,Ward of the Rings,21562,Richo,1690
2018,8,4,t1,20180355,Crippstocurrency,180650,Jmerc,1552
2018,8,4,t2,20180356,Post MaSloane,86078,Lester,1564
