,Pos,Pos2,Add/Remove,Player,Club,DPP,Relative Value,vs. Next Pick,Rank,Projected,Av.2023,ADP,Notes,StdDev.2023,Games.2023,Age,ID,ID_AFLFAN,ID_CD,Undo.Remove,Undo.Add
122,Def,,,Alex Witherden,WCE,No,7,-21,,85,78.4,113,Role: May benefit from the retirement of Hurn.,27.5,22,25,12546,998128,CD_I998128,,
123,Mid,,,Ollie Wines,PTA,No,-1.6,-29.2,,94,77.7,106,"Mid Punt/Role: Potential full fitness for 2024, will be third midfielder at PA.",18.3,23,29,12150,294318,CD_I294318,,
124,Def,,,Christian Salem,MEL,No,6.1,-21.9,,82,77.5,141,Interrupted pre-season (Minor): Back soreness. Injury prone player last 2 years.,18.5,14,28,12272,296359,CD_I296359,,
125,Fwd,,,Ben Keays,ADE,No,12.8,-14.5,,72,77.3,97,Role: Pressure fwd/half fwd. Unlikely to get mid time unless an injury occurs.,24.9,23,26,12434,993946,CD_I993946,,
126,Mid,,,Liam Shiels,NTH,No,-2,-29.6,,72,77.3,174,,24.8,16,32,11760,280737,CD_I280737,,
127,Def,,,James Trezise,RIC,No,5.6,-22.4,,62,77,235,,,1,21,13095,1031829,CD_I1031829,,
128,Mid,,,Willem Drew,PTA,No,-2.4,-30,,76,76.9,182,Role: Move to the outisde with Wines moving inside. Scores may decrease.,21.5,23,25,12695,1000972,CD_I1000972,,
129,Mid,,,Liam Henry,STK,No,-2.5,-30.1,,81,76.8,187,,21.6,16,22,12831,1005988,CD_I1005988,,
130,Def,,,Jayden Hunt,WCE,No,5.3,-22.7,,75,76.7,200,,24.7,23,28,4729,994385,CD_I994385,,
131,Ruck,,,Bailey J. Williams,WCE,No,-6,-25.6,,72,76.7,179,,21.1,23,23,12836,1006114,CD_I1006114,,
132,Fwd,Mid,,Taylor Adams,SYD,Yes,12,-15.3,,85,76.5,78,Trade: May get more midfield time in 2024.,22.1,22,30,12066,291776,CD_I291776,,
133,Def,,,Jordan Clark,FRE,No,5.1,-22.9,,86,76.5,103,,17.7,23,23,12688,1006152,CD_I1006152,,
134,Mid,,,Ben Hobbs,ESS,No,-2.8,-30.4,,78,76.5,178,Interrupted pre-season (Moderate): minor AC Shoulder injury in early Feb.,21.7,18,20,12970,1017088,CD_I1017088,,
135,Mid,,,Harry Morrison,HAW,No,-2.8,-30.4,,75,76.5,168,,23.7,13,25,12579,1000963,CD_I1000963,,
136,Def,,,Trent Rivers,MEL,No,5.1,-22.9,,74,76.5,163,,15.4,23,22,12778,1009378,CD_I1009378,,
137,Fwd,,,Joe Daniher,BRL,No,11.7,-15.6,,71,76.2,148,,25.4,23,29,12199,294518,CD_I294518,,
138,Ruck,,,Peter Ladhams,SYD,No,-6.5,-26.1,,60,76.2,206,,26.3,9,25,12729,997142,CD_I997142,,
139,Def,,,Darcy Macpherson,GCS,No,4.7,-23.3,,65,76.1,181,Role: moving from back to forward. Will likely reduce average.,22.7,23,26,12438,996464,CD_I996464,,
140,Mid,,,Max Holmes,GEE,No,-3.4,-31,,81,75.9,172,,19.6,21,21,12881,1015889,CD_I1015889,,
141,Mid,,,Finn Callaghan,GWS,No,-3.5,-31.1,,81,75.8,156,"Interrupted pre-season (Minor): shoulder concern in mid Feb, doesn't seem serious.",14.6,18,20,12969,1023266,CD_I1023266,,
142,Mid,,,Jy Simpkin,NTH,No,-3.5,-31.1,,77,75.8,117,"Role: Variable role half forward/mid, rates poorly as a mid. Potential DPP through season",29.6,18,25,12502,993998,CD_I993998,,
143,Mid,,,Dion Prestia,RIC,No,-3.5,-31.1,,75,75.8,165,"Interrupted pre-season/Mid punt: Hamstring injury in preseason, injury prone. Squeezed out of mid rotation, 3rd or 4th banana.",16.9,20,31,11917,290627,CD_I290627,,
