"id","feed_id","first_name","last_name","team","pos","avg","adp","rank"
216,"998129","Will","Brodie","FRE","MID",71.2,210.231,274
646,"1027875","Darcy","Wilson","STK","MID/FWD",0,211.452,275
250,"993940","Corey","Wagner","FRE","DEF",73.44,211.681,276
410,"1023482","Cam","Mackenzie","HAW","FWD",48.57,212.193,277
243,"1009380","Jeremy","Sharp","FRE","MID",0,213.395,278
576,"1017059","Josh","Gibcus","RIC","DEF",0,213.472,279
205,"291783","Dylan","Shiel","ESS","MID",69.42,213.789,280
753,"290801","Andrew","Gaff","WCE","MID",71.26,213.928,281
109,"1009241","Brodie","Kemp","CAR","DEF",73.07,214.754,282
527,"991930","Darcy","Byrne-Jones","PTA","FWD",69.76,215.278,283
366,"295265","Nick","Haynes","GWS","DEF",73,216.303,284
704,"1017126","Sam","Darcy","WBD","FWD",19.33,216.375,285
123,"298290","Marc","Pittonet","CAR","RUC",70.2,216.712,286
549,"993979","Sam","Powell-Pepper","PTA","FWD",67,217.482,287
448,"298264","Ed","Langdon","MEL","MID",72.48,217.6,288
343,"292511","Zach","Tuohy","GEE","MID",72.45,218.169,289
53,"1000932","Tom","Doedee","BRL","DEF",68.09,218.707,290
339,"280317","Rhys","Stanley","GEE","RUC",71.08,218.757,291
628,"1006143","Max","King","STK","FWD",61.1,219.217,292
406,"998390","Changkuoth","Jiath","HAW","DEF",62.25,219.98,293
61,"291548","Ryan","Lester","BRL","DEF",72.56,220.114,294
308,"1023537","Jhye","Clark","GEE","MID",13,220.567,295
556,"992330","Jordon","Sweet","PTA","RUC",0,220.618,296
674,"1008198","Tom","McCartin","SYD","DEF",71.36,221.268,297
574,"1009226","Thomson","Dow","RIC","MID",57,221.979,298
12,"999331","Darcy","Fogarty","ADE","FWD",68.1,222.828,299
266,"295446","Sam","Collins","GCS","DEF",73,222.943,300
400,"1012857","Jack","Ginnivan","HAW","FWD",52.64,223.327,301
676,"1011936","Justin","McInerney","SYD","MID",72.17,223.472,302
577,"990827","Jack","Graham","RIC","FWD",66.35,224.721,303
178,"1015810","Sam","Durham","ESS","MID",65.23,225.732,304
185,"297452","Nick","Hind","ESS","DEF",69.88,225.735,305
247,"992059","Sam","Switkowski","FRE","FWD",67.68,225.796,306
284,"996464","Darcy","Macpherson","GCS","DEF",71.3,225.957,307
290,"1027033","Ethan","Read","GCS","RUC",0,226.25,308
29,"1012218","Luke","Pedlar","ADE","FWD",55.81,226.491,309
745,"290826","Jamie","Cripps","WCE","FWD",69.17,226.616,310
619,"990840","Jack","Hayes","STK","FWD",51,226.875,311
554,"1017078","Josh","Sinn","PTA","MID",21.67,227.4,312
435,"1012825","Jake","Bowey","MEL","DEF",69.67,228.204,313
260,"1008882","Charlie","Ballard","GCS","DEF",71.91,228.383,314
305,"998260","Jack","Bowes","GEE","DEF",61.18,228.533,315
259,"294472","Rory","Atkins","GCS","DEF",72.29,228.651,316
757,"1023167","Brady","Hough","WCE","DEF",62.73,229.389,317
746,"1020802","Jai","Culley","WCE","MID/FWD",43.2,229.458,318
135,"998647","Mason","Cox","COL","RUC/FWD",63.5,229.676,319
211,"298289","Peter","Wright","ESS","FWD",64.4,229.696,320
421,"1001024","Ned","Reeves","HAW","RUC",67.19,230.542,321
700,"1005717","Nick","Coffield","WBD","DEF",0,231.128,322
685,"1012210","Matt","Roberts","SYD","MID",31.17,231.538,323
616,"1002256","Paddy","Dow","STK","MID",55,231.7,324
735,"992351","Bailey","Williams","WBD","MID",70.04,232.512,325
510,"280737","Liam","Shiels","NTH","MID",70.19,232.765,326
191,"298280","Jayden","Laverde","ESS","DEF",72.26,234.786,327
670,"997142","Peter","Ladhams","SYD","RUC",69.67,234.833,328
40,"1008384","Riley","Thilthorpe","ADE","FWD",59.43,234.88,329
125,"1001028","Jack","Silvagni","CAR","FWD",68.88,235.071,330
145,"1006148","Bobby","Hill","COL","FWD",57.14,239.372,331
522,"1009191","Miles","Bergman","PTA","DEF",65.86,240.156,332
480,"1015781","Charlie","Comben","NTH","FWD",45.14,240.714,333
687,"1020339","Angus","Sheldrick","SYD","MID",60,241.867,334
718,"990740","Rory","Lobb","WBD","FWD",67.05,242.339,335
512,"1004848","Dylan","Stephens","NTH","MID",58,243.333,336
472,"1017720","Jacob","van Rooyen","MEL","FWD",65.11,244.723,337
612,"1002264","Hunter","Clark","STK","MID",63.06,248.562,338
756,"1020670","Elijah","Hewett","WCE","MID/FWD",45.57,249.871,339
24,"1000998","Lachlan","Murphy","ADE","FWD",68.18,250.109,340
761,"998791","Jamaine","Jones","WCE","DEF",68.46,250.742,341
