"playerName","playerId","teamAbbr","salarySuperCoach","positionSuperCoach","ownershipSuperCoach","pricedAt","age","playerIdVoid","gms","subCount","kicks","handballs","marks","tackles","hitouts","ruckContestPercentage","goals","centreBounceAttendancePercentage","kickins","playOnPercentage","timeOnGroundPercentage","FP","consistency","FPadj","FPfirst","FPsecond","FPreg","FPfin","maxFP","minFP","pointsPerMinute","gm100","gm120","gmSub90","cbaPre","kiPre","poPre","togPre","fpPre","ppmPre","changeOwn","dollarsPerPoint","rankSalary","rankReg","rankAdj","rankFirst","rankSecond","feedID"
"Ed Richards","CD_I1008280","WBD",531000,"MID",2.9,98.5,25,"CD_I1008280","21",,"13.0","8.3","4.6","3.7","0.0","0","0.5","44","5","60","79","97.2","0.263","98.3","93.3","103.8","98.6","71.0","163","64","0.98","8","3","11","0","2","100","90","80.0","0.72",0,"5385",34,"35","36","44","21",1008280
"Elliot Yeo","CD_I292128","WCE",564700,"MID",0.1,104.8,31,"CD_I292128","20",,"12.3","10.3","2.0","6.5","0.0","0","0.6","72","0",,"71","104.8","0.239","104.8","106.0","103.6","104.8",,"157","61","1.18","11","5","5","75","0",,"76","96.0","1.01",0,"5388",21,"22","24","21","22",292128
"Hayden Young","CD_I1009256","FRE",546100,"MID",2.1,101.3,23,"CD_I1009256","23",,"13.1","10.7","3.3","5.3","0.0","0","0.6","65","0",,"74","101.3","0.223","101.3","99.3","103.6","101.3",,"132","62","1.12","14","6","7","80","0",,"75","115.0","1.31",0,"5391",29,"30","31","34","22",1009256
"Sam Walsh","CD_I1006094","CAR",583900,"MID",1.9,108.3,24,"CD_I1006094","20",,"13.4","15.0","3.0","6.8","0.0","0","0.3","70","0",,"80","107.3","0.215","107.3","115.0","103.5","108.4","87.0","166","69","1.06","11","4","5",,,,,,,0.1,"5387",16,"16","17","11","24",1006094
"Connor Rozee","CD_I1001299","PTA",529400,"MID",5.9,98.2,25,"CD_I1001299","23",,"14.6","9.0","4.3","4.4","0.0","0","0.7","62","0",,"81","96.6","0.3","96.6","92.3","103.1","98.3","85.3","168","39","0.97","12","3","8","52","0",,"73","113.0","1.33",-0.1,"5386",36,"36","39","46","25",1001299
"Rory Laird","CD_I293222","ADE",561100,"MID",1.1,104.1,31,"CD_I293222","23",,"11.8","15.8","3.6","5.7","0.0","0","0.1","50","3","100","77","104.1","0.19","104.1","105.2","103.0","104.1",,"149","65","1.08","13","4","5","61","0",,"72","89.0","0.98",0,"5390",23,"24","25","24","26",293222
"Tom Liberatore","CD_I290799","WBD",561700,"MID",0.4,104.2,32,"CD_I290799","18",,"10.6","13.2","2.8","5.6","0.0","0","0.2","72","0",,"78","102.7","0.181","102.7","106.8","102.8","104.2","76.0","155","76","1.05","10","2","3","87","0",,"79","136.0","1.39",0,"5391",22,"23","27","19","27",290799
"Jye Caldwell","CD_I1006103","ESS",506300,"MID",0.3,93.9,24,"CD_I1006103","23",,"11.0","11.7","4.1","6.5","0.0","0","0.3","46","0",,"75","94.0","0.235","95.6","89.0","99.4","94.0",,"134","53","1.01","10","3","8","24","0",,"78","44.0","0.47",0,"5386",41,"42","42","53","28",1006103
"Hugh McCluggage","CD_I1000978","BRL",528500,"MID",0.4,98.1,26,"CD_I1000978","27",,"14.7","10.0","5.3","3.7","0.0","0","0.7","59","0",,"82","101.1","0.244","101.1","97.4","98.8","98.1","118.8","161","56","0.97","16","6","9","42","0",,"75","162.0","1.88",0,"5387",37,"38","32","37","29",1000978
"Jordan Dawson","CD_I992242","ADE",550300,"MID",3,102.1,27,"CD_I992242","22",,"16.6","7.9","5.0","6.1","0.0","0","0.5","59","6","100","84","102.1","0.294","102.1","105.0","98.7","102.1",,"168","55","0.97","10","5","7","46","0",,"66","90.0","1.09",0.1,"5390",27,"28","28","25","30",992242
"George Hewett","CD_I294036","CAR",496500,"MID",0.1,92.1,29,"CD_I294036","22","2","10.7","12.7","2.8","4.6","0.0","0","0.3","68","0",,"73","93.8","0.327","100.6","87.4","98.4","92.1","128.0","135","12","1.01","12","4","7","68","0",,"78","101.0","1.05",0,"5391",43,"44","34","58","31",294036
"Ollie Wines","CD_I294318","PTA",535400,"MID",0.1,99.3,30,"CD_I294318","25",,"10.0","13.5","4.1","4.8","0.4","2","0.3","56","0",,"70","98.1","0.266","100.8","101.1","97.6","99.4","89.0","157","34","1.13","11","4","8","76","0",,"76","130.0","1.47",0,"5386",32,"33","33","32","32",294318
"Matt Crouch","CD_I297401","ADE",568600,"MID",0.2,105.5,29,"CD_I297401","15",,"10.3","19.6","4.1","5.3","0.0","0","0.0","67","0",,"71","105.5","0.134","105.5","109.3","95.3","105.5",,"128","85","1.18","9","3","3","57","0",,"59","114.0","1.54",0,"5390",20,"21","23","16","33",297401
"Tim Kelly","CD_I295898","WCE",514300,"MID",0.2,95.4,30,"CD_I295898","20",,"12.0","11.9","2.8","4.9","0.0","0","0.2","77","0",,"82","95.5","0.23","95.5","95.9","94.9","95.5",,"139","53","0.94","6","4","8","75","0",,"74","98.0","1.05",0,"5385",38,"39","43","40","34",295898
"Chad Warner","CD_I1012014","SYD",559700,"MID",1.8,103.8,23,"CD_I1012014","25",,"14.4","9.0","4.2","3.2","0.0","0","1.4","64","0",,"82","103.3","0.292","103.3","113.2","94.5","103.9","99.3","172","38","1.01","13","6","9",,,,,,,0,"5387",24,"25","26","12","35",1012014
