"feed_id","player_id","first_name","last_name","team_abbrev","pos_1","pos_2","round","projected_points","points","avg","avg3","avg5","price","user_team_id","team","coach","picked","type","position"
295584,624,"Bradley","Hill","STK","MID",,19,,74,74.3333,83,85.2,420300,2018,"Surviving J.Kelly","Mark",TRUE,"scoring","MID"
298437,46,"Callum","Ah Chee","BRL","DEF",,19,,67,49.125,44,38,209500,,,,,,
294068,204,"Andrew","Phillips","ESS","RUC",,19,,,84,83,81,385600,,,,,,
270951,214,"David","Zaharakis","ESS","FWD",,19,,48,58.1667,51,63.2,322100,,,,,,
1009528,367,"Tom","Green","GWS","MID",,19,,119,80.25,93.6667,84.8,417100,,,,,,
992000,631,"Jack","Lonie","STK","FWD",,19,,,46.2222,35,45.2,241700,,,,,,
1004940,343,"Sam","Simpson","GEE","FWD",,19,,,52,52,52,350600,,,,,,
1009378,470,"Trent","Rivers","MEL","DEF",,19,,74,65.3333,63.6667,68.6,340300,,,,,,
281124,91,"Levi","Casboult","CAR","FWD",,19,,,46.0909,51.6667,51,258800,,,,,,
1002770,133,"Callum L.","Brown","COL","FWD",,19,,,49.7143,52.6667,51.6,251400,,,,,,
295203,569,"Nathan","Broad","RIC","DEF",,19,,,76,74.3333,82,392300,,,,,,
1006103,177,"Jye","Caldwell","ESS","FWD","MID",19,,,70,70,70,348600,,,,,,
998109,178,"Dylan","Clarke","ESS","MID","FWD",19,,,0,0,0,348600,,,,,,
993816,251,"Darcy","Tucker","FRE","MID",,19,,54,61.6667,46,49.6,283600,,,,,,
298111,364,"Jeremy","Finlayson","GWS","FWD",,19,,,68.3077,50,60.2,287500,,,,,,
240406,750,"Josh J.","Kennedy","WCE","FWD",,19,,106,68.9333,68.6667,72,328000,,,,,,
998129,264,"Will","Brodie","GCS","MID","FWD",19,,65,51.5,50.6667,51.5,301800,,,,,,
297899,449,"James","Harmes","MEL","DEF",,19,,51,84.6364,64.3333,73.8,405600,6510,"The Big Short","Luke",FALSE,"nonscoring","DEF"
250395,596,"Jack","Riewoldt","RIC","FWD",,19,,84,71.6667,88,76,373100,,,,,,
1004985,637,"Ben","Paton","STK","DEF",,19,,,0,0,0,344200,,,,,,
1006136,36,"Lachlan","Sholl","ADE","DEF","MID",19,,41,67.4118,29.3333,45,252300,,,,,,
293603,552,"Sam","Mayes","PTA","DEF",,19,,,41.7143,56,46.2,266900,,,,,,
290085,698,"Taylor","Duryea","WBD","DEF","FWD",19,,68,74.7778,63.3333,66.6,355600,23413,"The West Wingard","Simon",TRUE,"scoring","FWD"
293883,309,"Jed","Bews","GEE","DEF",,19,,52,53.5,60,62.2,305800,,,,,,
1000981,597,"Daniel","Rioli","RIC","FWD",,19,,111,57,81,61.6,293500,,,,,,
991933,571,"Jason","Castagna","RIC","FWD",,19,,44,56.1667,42,45.2,247500,,,,,,
993795,94,"David","Cuningham","CAR","FWD",,19,,,59.5,57,59.5,338100,,,,,,
997933,238,"Griffin","Logue","FRE","DEF",,19,,66,58.6667,62.6667,59.6,313100,,,,,,
290117,621,"Dan","Hannebery","STK","MID",,19,,,0,0,0,338500,,,,,,
293479,59,"Cameron","Ellis-Yolmen","BRL","FWD","MID",19,,,0,0,0,337800,,,,,,
998484,521,"Cameron","Zurhaar","NTH","FWD",,19,,35,62.5882,62,81.8,405900,23413,"The West Wingard","Simon",TRUE,"scoring","FWD"
1004848,684,"Dylan","Stephens","SYD","MID",,19,,,35.2,35,35.2,252100,,,,,,
291720,146,"Will","Hoskin-Elliott","COL","FWD",,19,,,71.5,70.3333,76.8,392200,,,,,,
271015,363,"Matt","de Boer","GWS","MID",,19,,,59.3333,64,59.2,305700,,,,,,
1008123,385,"Jake","Riccardi","GWS","FWD",,19,,,42.1667,40.6667,41.6,239400,,,,,,
294504,531,"Tom","Clurey","PTA","DEF",,19,,,70.9,58.6667,66.8,349300,,,,,,
294570,628,"Dean","Kent","STK","FWD",,19,,49,48.6667,48.6667,48.6667,312000,,,,,,
290623,570,"Josh","Caddy","RIC","MID",,19,,,74.1667,74.3333,73.8,369900,,,,,,
297504,72,"Daniel","McStay","BRL","FWD",,19,,83,69.1429,72.3333,72.4,353000,,,,,,
1002143,500,"Ben","McKay","NTH","DEF",,19,,47,57.2778,46.6667,51.6,266200,,,,,,
1006133,599,"Jack","Ross","RIC","MID",,19,,78,49.4444,63,57.6,273100,,,,,,
1006058,506,"Bailey","Scott","NTH","FWD","MID",19,,101,58.3333,74.3333,70.6,308600,,,,,,
997823,759,"Josh","Rotham","WCE","DEF",,19,,94,74,84,79.8,404000,,,,,,
297452,188,"Nick","Hind","ESS","FWD",,19,,61,91.8889,89.6667,83.4,475000,6510,"The Big Short","Luke",TRUE,"scoring","FWD"
290675,379,"Daniel","Lloyd","GWS","FWD",,19,,63,67.1818,63.6667,64.2,323600,,,,,,
997078,205,"Mason","Redman","ESS","DEF",,19,,61,74.7059,84.6667,75.6,401700,,,,,,
296291,331,"Jake","Kolodjashnij","GEE","DEF",,19,,54,57.7333,49.6667,52.2,256500,,,,,,
294643,299,"Alex","Sexton","GCS","FWD",,19,,33,55.6429,66,62.2,317000,,,,,,
1002404,715,"Aaron","Naughton","WBD","FWD",,19,,75,75.2941,45.6667,52.4,305200,23413,"The West Wingard","Simon",TRUE,"scoring","FWD"
291550,515,"Josh","Walker","NTH","DEF",,19,,38,55.7059,47.6667,53,283200,,,,,,
992786,564,"Jake","Aarts","RIC","FWD",,19,,53,59.7778,40.6667,46.2,271100,,,,,,
1004863,16,"Mitchell","Hinge","ADE","MID",,19,,,31,31,31,328800,,,,,,
