"","feed_id","player_id","first_name","last_name","team_abbrev","pos_1","pos_2","round","projected_points","points","avg","avg3","avg5","price","user_team_id","team","coach","picked","type","position"
"730",1013511,397,"Tyler","Brockman","HAW","MID","FWD",11,NA,NA,43,50,43,172700,NA,NA,NA,NA,NA,NA
"731",1012830,403,"Connor","Downie","HAW","MID",NA,11,NA,NA,0,0,0,117300,NA,NA,NA,NA,NA,NA
"732",1018016,420,"Seamus","Mitchell","HAW","FWD",NA,11,NA,NA,0,0,0,117300,NA,NA,NA,NA,NA,NA
"733",1012825,441,"Jake","Bowey","MEL","MID","FWD",11,NA,NA,0,0,0,117300,NA,NA,NA,NA,NA,NA
"734",1012826,458,"Bailey","Laurie","MEL","DEF","FWD",11,NA,NA,0,0,0,117300,NA,NA,NA,NA,NA,NA
"735",1013086,471,"Fraser","Rosman","MEL","MID","FWD",11,NA,NA,0,0,0,117300,NA,NA,NA,NA,NA,NA
"736",1012833,490,"Eddie","Ford","NTH","FWD",NA,11,NA,NA,0,0,0,117300,NA,NA,NA,NA,NA,NA
"737",1012852,496,"Charlie","Lazzaro","NTH","MID",NA,11,NA,NA,35.7778,42,39.6,188500,NA,NA,NA,NA,NA,NA
"738",1011647,508,"Phoenix","Spicer","NTH","MID","FWD",11,NA,NA,0,0,0,117300,NA,NA,NA,NA,NA,NA
"739",1012881,549,"Ollie","Lord","PTA","FWD",NA,11,NA,NA,0,0,0,117300,NA,NA,NA,NA,NA,NA
"740",1009551,598,"Maurice","Rioli","RIC","MID","FWD",11,NA,NA,0,0,0,117300,NA,NA,NA,NA,NA,NA
